index,author,username,date,english_text,zh_cn_translation,visible_stats
11,MistyK1999,@MistyK1999,May 9,"If you continue to submit to these complainers, they'll continue to make them your bitch. And you really do look like a bitch right now. You're also getting hate from both sides now, so stop submitting to these woke ai haters.",如果你继续向这些抱怨者屈服，他们就会继续把他们当作你的婊子。你现在看起来确实像个婊子。现在你也受到了双方的仇恨，所以不要再屈服于这些醒来的人工智能仇恨者。,1 | 701
12,sirSithis,@sirsithis,May 9,Turned it into a static white noise screen 🤔the AI one was better😅 than that.,把它变成静态白噪声屏幕🤔AI 比那更好😅。,942
13,Xclrtr🐟🔱🪶🎲🌃🌸🍭🥞👻,@Xclrtr,May 8,"I'm getting the game now. I have no doubt I'll enjoy it, and I don't give one damn about a bit of AI",我现在就开始玩游戏了我毫不怀疑我会喜欢它，而且我一点也不关心人工智能,612
14,Rukasu,@Ruukasu97,May 10,"And what the real answer should be ""shut the fuck up retards we and everyone else is using ai, even the website youre currently on x is owned by xAI""",真正的答案应该是“闭嘴，我们和其他人都在使用人工智能，甚至你当前在 x 上的网站也归 xAI 所有”,153
15,Elven Maid Inn,@elvenmaidinn,May 7,"Just ignore loud retards, they hate games because its successful and many people enjoy it more than they beloved games. It was never about Ai use. Even if it was Ai generated, people that enjoying game do not give a shit about it.",忽略那些吵闹的弱智者吧，他们讨厌游戏，因为它很成功，而且很多人比他们喜爱的游戏更喜欢它。这从来都不是关于人工智能的使用。即使是人工智能生成的，喜欢游戏的人也不会在意它。,"103 | 79 | 4,650 | 212,322"
16,Freenek,@freenek_,May 7,">claim the game is built on human creativity >somehow used AI gen across the game BY NO MISTAKE Contradictory statement, I call it bullshit, sadly gamers will gobble this shit up.",>声称游戏是建立在人类创造力的基础上>不知何故在游戏中使用了人工智能生成，毫无疑问矛盾的说法，我称之为废话，可悲的是，玩家会吞噬这些狗屎。,"27 | 80 | 4,002 | 117,353"
17,Extvia,@DuraExtvia,May 7,Nobody is complaining about it but performative western idiots anyway.,没有人对此抱怨，但无论如何，除了表演的西方白痴。,"33 | 27 | 2,139 | 124,335"
18,WhereWeebsMeet,@WhereWeebsMeet,May 7,"You got this. Game is incredible, free and generous so far. Keep it that way and we’ll be there to play your craft",你得到了这个。到目前为止，这款游戏令人难以置信、免费且慷慨。保持这种方式，我们将在那里发挥你的手艺,"7 | 7 | 1,646 | 116,798"
19,Ρara,@changlifan_,May 7,Give hathor an exclusive shower interaction at bond 10 and we'll accept your apology 🤝,在 bond 10 为哈索尔提供独家淋浴互动，我们将接受您的道歉🤝,"30 | 14 | 1,580 | 75,018"
20,N0-V1 🪓🧪,@N0V1_ch,May 7,i'll play your game again when you remove the schlop and replace it with some shit made by actual humans,当你删除 schlop 并将其替换为真实人类制作的一些狗屎时，我会再次玩你的游戏,"96 | 17 | 1,266 | 71,372"
21,❥𝓔𝓭𝓰𝓪𝓻 ♔♞ - IDV BOYCOTT,@daffotura,May 7,"""AI-assisted tools were used only on a small number of background and environmental assets,"" A 18 minute AI video isn't a small number - shut the fuck up",“AI 辅助工具仅用于少量背景和环境资产”，18 分钟的 AI 视频可不是一个小数目——他妈的闭嘴,"3 | 21 | 1,096 | 35,523"
22,Sandz,@Sandzz42,May 7,“Not on characters or stories” Yeah sure bruhh😭🥀,“不是关于人物或故事”是的当然bruhh😭🥀,"17 | 4 | 830 | 32,963"
23,Naks Walker,@NaksWalker,May 7,Make sure to also fix those EN VA by replacing them with some professional VAs instead. Learn from hoyo's mistakes and stop hiring activists. They are never good for your game.,确保还修复这些 EN VA，用一些专业的 VA 替换它们。从 hoyo 的错误中吸取教训，停止雇用激进分子。它们永远不会对你的游戏有好处。,"25 | 16 | 795 | 85,071"
24,AkiraJkr,@AkiraJkr1,May 7,"That's not what AI Assistance is about. This isn't even close to assistance and more like ""create slop for me"". nitter.net/i/status/2052199532159… Lying to players, content creators and your VAs by not mentioning there's GenAI shouldn't be acceptable by anyone either.",这不是人工智能援助的目的。这根本就不是援助，而更像是“为我创造污水”。 nitter.net/i/status/2052199532159… 通过不提及 GenAI 来欺骗玩家、内容创作者和您的 VA，任何人都不应该接受。,"16 | 57 | 685 | 60,603"
25,神裂迷宮,@KanzakiMeikyu,May 7,also the Kamen Rider knockoff stuff. Just get rid of all AI generated stuff and everyone will be happy,还有假面骑士的山寨货。只要摆脱所有人工智能生成的东西，每个人都会高兴,"24 | 11 | 739 | 94,888"
26,SolinceVT,@SolinceTheWolf,May 7,You should not have bent the knee to the virtue signaling mob. They do not play your game and will demand more of you despite continuing to NOT PLAY YOUR GAME. Never bend the knee to these people.,你不应该向那些发出美德信号的暴民屈服。他们不玩你的游戏，并且会要求你提供更多，尽管他们继续不玩你的游戏。永远不要向这些人屈膝。,"13,153"
27,crescent🌙,@cressuhime,May 7,"my man, ai was not only used on a small number of background assets",我的天，ai 不仅仅被用在少数背景资产上,"647 | 23,524"
28,llongo1996,@Bristow2005,May 7,Maybe next time don’t lie to a content creator who wanted to support your game.,也许下次不要对想要支持你的游戏的内容创建者撒谎。,"49 | 621 | 38,582"
29,BLACK DUMPLING™,@BlackDumpling,May 7,You do not understand the terrible mistake you have just made. Because it won't be enough. It'll never be enough. They manufactured a sin for the express purpose of condemning you for it.,你不明白你刚刚犯下的可怕错误。因为这还不够。这永远都不够。他们制造了一种罪恶，其明确目的就是谴责你。,"10 | 4 | 264 | 8,106"
30,Rosiebellmoo,@rosiebellmoo,May 7,I think what most people want is just honesty and transparency. So id say maybe answer how we can have trust going forward . There is people for and against ai and that will always be an ongoing debate but I think if you focus on communicating to people that will be your strongest asset,我认为大多数人想要的只是诚实和透明。所以我想说也许可以回答我们如何才能继续前进。有人支持人工智能，有人反对人工智能，这将永远是一场持续不断的争论，但我认为，如果你专注于与人沟通，这将是你最强大的资产,"3 | 8 | 249 | 21,748"
31,shekie,@shekiex3,May 7,"""Small number"" but people keep finding more and more generative AI involvement each passing day... How far are you going to take the lies?",“数量虽小”，但人们日复一日地发现越来越多的生成式人工智能参与其中……你的谎言能走多远？?,"7 | 17 | 421 | 34,771"
32,Cronos12,@cronos12,May 7,"You should be happy you're not getting sued by the contracted creators who were told the game contained no generative AI. All companies need to be upfront about their usage of gen ai, and no one should be lying in contracts.",你应该很高兴你没有被合同创作者起诉，他们被告知游戏不包含生成人工智能。所有公司都需要坦诚地说明他们对 gen ai 的使用情况，任何人都不应该在合同中撒谎。,"32 | 5 | 437 | 34,879"
33,🌸𝐒𝐄𝐍𝐏𝐀𝐈 先輩🍜,@fishu_senpai,May 7,Nothing beats @NTE_GL ✨💕,没有什么比@NTE_GL ✨💕,"1 | 4 | 184 | 28,056"
34,Keitaro,@KeitaroTR,May 7,"Muchísimas gracias por escuchar activamente a la comunidad, y se agradece tanto la transparencia como la acción resolutiva 🙏🏻 El juego es muy divertido, que queráis pulirlo todo lo posible es muy buena señal",非常感谢你们积极倾听社区的声音，透明度和果断行动都受到赞赏🙏🏻 这个游戏非常有趣，你们想要尽可能地打磨它是一个非常好的迹象,"6,865"
35,Hani 👻✨,@HanakoBlackFang,May 7,"NTE is great! Similar response to what was said prior to launch, if ironmouse cared so much about the use of ai assets she should have done a better job looking into it instead of selective virtue signaling",NTE太棒了！与发布前所说的类似的回应，如果ironmouse如此关心人工智能资产的使用，她应该更好地研究它，而不是选择性地发出美德信号,"6 | 15 | 342 | 15,435"
36,Håvard 🇳🇴,@HavardOrskaug,May 7,Apologizing or feeling the need to reason why you use AI needs to stop. AI is the future and is nothing to be excused. Anyone who thinks AI is bad are only the people too stupid and/or talentless to get replaced by it in the first place.,道歉或觉得有必要解释你为什么使用人工智能需要停止。人工智能是未来，没有什么可以原谅的。任何认为人工智能不好的人都只是那些太愚蠢和/或没有才华而无法被人工智能取代的人。,"33 | 6 | 309 | 26,118"
37,Chillguy,@RitsFur,May 7,"The retard audience just hates AI because it's the new trend. They'll freeze if you ask them the reason or just parrot the “Uh, it's water use"". Unless you're using AI to do all the work and removing artists from the job, it should be fine.",弱智观众只是讨厌人工智能，因为它是新趋势。如果你问他们原因或者只是鹦鹉学舌地说“呃，这是用水”，他们会冻僵的。除非你使用人工智能来完成所有工作并将艺术家从工作中剔除，否则应该没问题。,"37 | 3 | 289 | 28,851"
38,AyakaMods,@AyakaMods,May 7,Don’t listen to losers. You’re doing great at your game!,不要听失败者的话。你的游戏表现非常出色！!,"2,118"
39,Apocalypse21,@Apocalypse21OG,May 7,"As expected, the devs interview was correct, ""core asset"" and ""character portrait"" are not by AI and done by real people. Dumb people misinterpreted it as no AI exist in the game.",果然，开发者采访是正确的，“核心资产”和“人物肖像”不是人工智能做的，而是真人做的。愚蠢的人误解了它，因为游戏中不存在人工智能。,"6 | 4 | 275 | 30,548"
40,nameless one,@Namelessonuh,May 7,"Ok, good. Just know this... anime is not just a style, anime is associated with creativity, creativity can not be generated, it can be only created by people. Gen AI is a theft program, I can understand if it's used just to ""check vibes"" but not when it's in final product",好的，很好。只要知道这一点...动漫不仅仅是一种风格，动漫与创造力相关，创造力无法产生，它只能由人创造。 Gen AI 是一个盗窃程序，我可以理解它是否只是用于“检查振动”，但在最终产品中则不然,"2 | 2 | 268 | 27,095"
41,Devastator’s Balls,@Crazy_TFDesigns,May 7,“Built on human creativity”,“建立在人类创造力之上”,"6 | 260 | 12,930"
42,LFGPAL,@lfgpal,May 8,"Here is a comparison Before and After hot fix about AI in NTE The devs are clearly trying their best and listening to feedback, so I think they deserve a fair chance to keep improving the game. Good work!👍👍👍 #nte #nevernesstoeverness",这是 NTE 中 AI 热修复前后的比较 开发人员显然正在尽最大努力并听取反馈，所以我认为他们应该有一个公平的机会来不断改进游戏。干得好！👍👍👍#nte #nevernesstoeverness,"13 | 14 | 240 | 27,138"
43,Flesh Not Required,@FNR_Show,May 7,"When digital art came, people claimed it wasn't ""Real Art"" because it made the process too easy, you didn't have to mix colors manually, and working with layers was effortless. Now, history is repeating itself with AI. AI is just another new tool for human creativity! All love for the NTE team! 💖",当数字艺术出现时，人们声称它不是“真正的艺术”，因为它使过程变得太简单，你不必手动混合颜色，并且使用图层也毫不费力。现在，人工智能的历史正在重演。人工智能只是人类创造力的又一个新工具！热爱 NTE 团队！ 💖,"32 | 18 | 232 | 22,710"
44,weirdphil 👑,@weirdphil,May 7,"Hey, look. The word ""Anal"" is in the middle of Nanally's name. Guyz, you don't need to censor client-side team names. You won't even let me use an @ in place of the a, ffs.",嘿，看。 “肛门”这个词位于纳纳利名字的中间。 Guyz，您不需要审查客户端团队名称。你甚至不让我用@代替a、ffs。,"7 | 266 | 42,065"
45,Rajor,@Razor_Language,May 7,"Good direction, thank you for listening, looking forward to the inplementations",很好的方向，感谢您的聆听，期待实施,"27,979"
46,Cedar // The Leaf Boi『ENVtuber』🍂🍃,@CedarVT,May 7,"Hotta, even with the amount of feedback you had gotten between this game, and your other games, you are still very much out of touch with what the majority of the player base wants. Keep in mind, the AI bros, are not the Majority as much as they'd like to believe it. Reading this post, you just OPENLY admitted to lying to people about your usage of AI. ""We only used AI on a small number of background and environmental assets, not stories or characters."" *Proceeds to mention a quest where AI was used in the story.* Like come on man. You could have done so much better. Hell you probably could have reached out to artists who made art of the game and asked to feature their art in game on these backgrounds or environmental assets and so many people would have jumped at the idea. Instead you gave us this. If this game was built on human creativity, you wouldn't be asking a machine to do all your environmental assets. Do better",Hotta，即使你在这款游戏和其他游戏之间获得了大量反馈，你仍然与大多数玩家群体的需求脱节。请记住，人工智能兄弟并不像他们想相信的那样是大多数。阅读这篇文章，您刚刚公开承认在人工智能的使用方面向人们撒谎。 “我们只在少量背景和环境资产上使用人工智能，而不是故事或角色。” *接着提到故事中使用人工智能的任务。*就像来吧伙计。你本来可以做得更好。天哪，你可能已经联系了制作游戏艺术的艺术家，并要求在这些背景或环境资产的游戏中展示他们的艺术作品，很多人都会欣然接受这个想法。相反，你给了我们这个。如果这款游戏是建立在人类创造力之上的，那么你就不会要求机器来完成所有的环境资产。做得更好,"6 | 238 | 17,132"
47,Stray Fox,@Strayfoxo,May 7,For the thearter thing maybe partner up with @crunchyroll play a bunch of episode ones of anime,对于戏剧来说，也许可以与@crunchyroll 合作播放一系列动漫剧集,"1 | 17 | 1,205"
48,BAappreciator67,@BAappreciator31,May 7,"Do not listen to the performative haters, your game is peak 3d gacha game, use any tool that can make the game even better 👍 (Also please add more cute and funny characters like Sakiri😭🙏😭🙏)",不要听那些表演仇恨者的胡言乱语，你的游戏是巅峰3D扭蛋游戏，使用任何可以让游戏变得更好的工具👍（也请添加更多可爱有趣的角色，比如Sakiri😭🙏🙏🙏）,"1 | 8 | 195 | 8,260"
49,Promptmetheus (COG/ACC),@Promptmethus,May 7,Extremely disappointing to see you caving to the anti AI community. You should have flipped them the fucking bird and doubled down on AI assets fucking everywhere. Like absolutely fucking everywhere. Why would you want a bunch of shit ass tourists that cared that you made like one single fucking poster with an AI? Like fuck them. They don't give a fuck about the game or the success of your fucking company.,看到你屈服于反人工智能社区，我感到非常失望。你应该把他妈的鸟扔了，然后加倍投资他妈的人工智能资产。就像到处都是他妈的。你为什么要一群狗屎游客关心你用人工智能制作的一张该死的海报？就像操他们一样。他们根本不在乎游戏或者你他妈的公司的成功。,1 | 5 | 661
50,🇵🇷𝖀𝒢𝕴𝒪🇿🇦,@PengPantheress,May 7,whats w the hard crashing of my pc every 15 mins of gameplay for reference i can play maxed out cyberpunk w graphics mods no problem any1 got a fix? seems to maybe be a problem w unreal,我的电脑每玩 15 分钟就会崩溃一次，仅供参考，我可以玩到最大的赛博朋克，带图形模组，没问题，有修复吗？似乎可能是一个不真实的问题,"4,643"
51,A̲I̲ ̲N̲'̲w̲a̲h̲,@ChungarNwah,May 7,Don't get push around by anti-ai losers. Most people don't care.,不要被反人工智能失败者摆布。大多数人并不关心。,210
52,Roma Gloryuh🪻,@Gloryuh3,May 7,"See how easy it was? We saw AI, we call it out, they remove AI. No need to twist your morailty just to justify the use of AI. Calling the company out does not mean we hate them, it means, we want them to do better, to be better.",看看这有多容易吗？我们看到了人工智能，我们大声疾呼，但他们却移除了人工智能。无需为了证明人工智能的使用合理而扭曲你的道德。斥责这家公司并不意味着我们讨厌他们，而是意味着我们希望他们做得更好，变得更好。,"8 | 180 | 16,450"
53,Azh Dala,@AzhDala,May 7,"Lol this so bad. Someone watch this in your office said "" yep this good, ship it""",哈哈，这太糟糕了。有人在你的办公室看到这个并说“是的，这很好，发货吧”,"24 | 9 | 160 | 38,639"
54,MAFIA,@TH3MAF1A,May 7,It’s crazy that Studios have to fucking type this. Because someone finds AI in the game for something so simple and small. everybody goes berserk. holy shit three companies had to make post like this already. 🙄🙄🤦‍♂️,工作室必须他妈的输入这个，这太疯狂了。因为有人在游戏中发现人工智能的作用是如此简单和微小。每个人都发疯了。天哪，已经有三家公司发过这样的帖子了。 🙄🙄🤦‍♂️,"5,851"
55,Koko Krocuta,@KokoKrocuta,May 7,Your game is amazing. I have enjoyed every second... Thank you for this quick response to the situation. I knew your team would work diligently in order to resolve the issue. I'm glad I continued to support your game and involve myself with the community. 🤍,你的比赛太棒了。我很享受每一秒...感谢您对情况的快速反应。我知道您的团队会努力工作来解决问题。我很高兴继续支持你们的游戏并参与社区活动。 🤍,"15,154"
56,Karuuni,@Karuuni,May 7,AI hate is so stupid tbh i played the game alot but at the end im Not a gacha enjoyer but in 50 Hours i have to say its a really good Game and people hating on the most unnoticable AI things and acting like 200 developers couldve had a job because of that Are just delusional 🤦‍♂️,人工智能仇恨太愚蠢了，说实话，我玩了很多游戏，但最后我不是扭蛋爱好者，但在 50 小时内，我不得不说这是一款非常好的游戏，人们讨厌最不引人注目的人工智能事物，并表现得好像 200 名开发人员可以因此找到一份工作，这只是妄想🤦‍♂️,"6 | 1 | 162 | 16,573"
57,Lord Rexworth 👑🏰,@LordRexworth,May 7,"You bend the knee, you lose. Simple as. It will never make the luddites happy, because nothing will satisfy them. They are using your natural desire for social harmony as a weapon against you. Your supporters will view this capitulation as weakness, and a loss of face. Many will abandon you for this. Your enemies will see this as an opportunity to mercilessly keep striking you, until you are destroyed.",你弯曲膝盖，你就输了。简单如。它永远不会让勒德分子感到高兴，因为没有什么能让他们满意。他们利用你对社会和谐的自然渴望作为攻击你的武器。你的支持者会认为这种投降是软弱和丢面子。许多人会因此抛弃你。你的敌人会将此视为一个机会，继续无情地攻击你，直到你被消灭。,"13 | 1 | 151 | 5,541"
58,Scion Storm,@ScionYT,May 7,You have to respond to it. But normal gamers didn't panic or get that upset. And those of us who already knew about stuff. Also know the track record that the company would work it out. It was basically manufactured drama baiting. And over reacting that didn't even give the company time to respond. Every body go back to having fun now. Lmao,你必须回应它。但普通玩家并没有惊慌或沮丧。还有我们这些已经了解一些东西的人。还要了解该公司解决该问题的记录。这基本上是人为制造的戏剧诱饵。反应过度甚至没有给公司时间做出回应。现在每个人都回去享受乐趣了。左毛,"1 | 1 | 143 | 11,120"
59,Saint🇻🇦,@Saint_Sxnner,May 7,"You should have never bent the knee to the virtue signalers. All the people who bullied you guys into making this statement are not gonna play the game anymore, you should have stuck to your guns. The people who enjoy the game will support you regardless of the AI tools used.",你永远不应该向美德信号者屈服。所有那些欺负你们发表此言论的人都不会再玩这个游戏了，你们应该坚持自己的立场。无论使用什么人工智能工具，喜欢这款游戏的人都会支持你。,"8 | 2 | 127 | 5,263"
60,Bushi,@Rcade_K20,May 7,"it doesn't matter, i love the game regardless! W devs.",没关系，无论如何我都喜欢这个游戏！ W 开发者。,"1 | 1 | 125 | 8,087"
61,Kaito,@iKaito_1,May 7,"Thankyou , and welcome back !! Happy labour's day hope you enjoying your holiday",谢谢你，欢迎回来！劳动节快乐希望您假期愉快,"4,116"
62,Hyjinx,@reclaimedsoul48,May 7,NTE did nothing wrong,NTE没有做错什么,"1 | 2 | 106 | 2,591"
63,LFGPAL,@lfgpal,May 7,I’m glad they addressed this instead of ignoring it. NTE has too much potential to let a few questionable assets damage trust. Transparency + fixing the flagged work is exactly what the community needed to hear.,我很高兴他们解决了这个问题而不是忽视它。 NTE 的潜力太大，无法让一些可疑资产损害信任。透明度+修复标记的工作正是社区需要听到的。,"3 | 101 | 9,994"
64,Megacipher,@Meg123177414,May 7,Because of you guys using AI we should get another 5 star selector for compensation... just kidding lmao 😂,因为你们使用人工智能，我们应该再得到一个 5 星选择器作为补偿……开个玩笑 lmao 😂,"7 | 1 | 98 | 57,882"
65,Banana Guard superiority,@Qwerty51623710,May 7,"""built on human creativity"", ""ai assisted tools were used only on small amount of assets"" 18 min gen ai video:",“建立在人类创造力之上”、“人工智能辅助工具仅用于少量资产”18 分钟的 gen AI 视频：,"97 | 4,952"
66,Moon Umbra🌒|Vtuber|,@MoonUmbraVT,May 7,Make sure to get rid of the gen ai and ill gladly come back and support the game. Thank you for taking our words into consideration and hope that once the gen ai is gone your game does well. NTE is messy but it is fun and actually hope for the best for this game.,确保摆脱 gen ai，我很乐意回来支持游戏。感谢您考虑我们的话，并希望一旦 gen ai 消失，您的游戏就会表现良好。 NTE 很混乱，但很有趣，并且希望这款游戏能取得最好的成绩。,"23 | 93 | 20,295"
67,Local Rabbit,@TheKuroyuu,May 7,"with how disjointed and random the story is, wouldn't be surprised half of it was chatgpt lol",这个故事是多么脱节和随机，不会感到惊讶一半是聊天哈哈,"8,593"
68,Gerardo,@Gerardo52186047,May 7,Good. Im still enjoying the game but glad this was addressed,好的。我仍然喜欢这个游戏，但很高兴这个问题得到了解决,"29,108"
69,TeK,@MajinTeK,May 7,All this because of some V tuber on a monitor,这一切都是因为显示器上的一些V tuber,"86 | 2,297"
70,Rec,@Rec_A_Dork,May 7,"You openly and repeatedly lied to your audience, your own actors, and creators that you partnered with. You minimize the use of GenAI, but even a casual place makes it clear that GenAI's roots reach deep into this product. You slop You flop You aren't owed trust. Buzz off.",你公开地、反复地向你的观众、你自己的演员以及与你合作的创作者撒谎。您可以最大限度地减少 GenAI 的使用，但即使是在一个随意的地方，也可以清楚地看出 GenAI 的根源已深入到该产品中。你失败了 你失败了 你不值得信任。嗡嗡声。,"2 | 84 | 4,790"
71,Cyndikate- Hellcat - 3 Year Anniversary DEBUT 4/21,@Cyndikate1,May 7,And you continue to downplay the amount of AI slop you have in your game. Even if you fixed it. You destroyed the community’s trust by lying and downplaying it and that is not easy to get back. There is no coming back from this even if you make a new game.,而且你继续淡化游戏中的人工智能溢出量。即使你修好了。你通过撒谎和淡化破坏了社区的信任，而且这种信任并不容易恢复。即使你制作了一款新游戏，也无法挽回。,"8 | 79 | 6,784"
72,NotAzehara,@NotAzehara,May 7,Dont sponsor people that hate you,不要资助那些讨厌你的人,582
73,Alicia SilverRidge | Crowned Princess Vtuber,@AliciaSilRidge,May 7,"My love for the game outweigh those issue. Clearly the funds used for the game wasn’t small and it’s understandable some stuff from before official release has yet to be replaced. But nonetheless, those are minor issues that wouldn’t affect how fun and enjoyable the game is. 🤍",我对游戏的热爱超过了这些问题。显然游戏的资金不小，一些正式发布前的东西还没有被替换也是可以理解的。但尽管如此，这些都是小问题，不会影响游戏的乐趣和享受。 🤍,"5,973"
74,Kacy 🦋🩷✨Magical Fairy VTuber,@kacyfaevt,May 7,What about the ai advertising on TikTok and other socials? I see multiple ai generated ads DAILY for this game and it’s disgusting,TikTok 和其他社交媒体上的人工智能广告怎么样？我每天都会看到该游戏的多个人工智能生成的广告，这很恶心,"7 | 69 | 5,166"
75,Overlord Tenjigoku💪✝️⚔️🍻,@OverlordTenji,May 7,The game is awesome and I want Chaos as a playable character. Dude looks cool.,这个游戏很棒，我希望混沌成为一个可玩的角色。老兄看起来很酷。,"5 | 68 | 19,526"
76,Tez 🇺🇸,@Tez_720,May 7,"Do not bend the knee. AI is a tool. If it makes something better, so be it. You are not obligated to employ artists. You are obligated to make a product that people enjoy and turn profits.",不要弯曲膝盖。人工智能是一种工具。如果它能让事情变得更好，那就这样吧。您没有义务雇用艺术家。你有义务生产人们喜欢的产品并赚取利润。,"1,230"
77,Avidya rehab,@AvidyaRehab,May 7,"Wow, thank you for the responsiveness and for addressing the issue DIRECTLY. I know it must have hurt for the incredible efforts of your team to be smeared by this drama. The game is obviously having a lot of success and I am excited for NTE to be a major player in this genre!",哇，感谢您的响应和直接解决问题。我知道你们团队的巨大努力被这出戏抹黑了，肯定会受到伤害。这款游戏显然取得了很大的成功，我很高兴 NTE 成为这一类型的主要参与者！!,"3 | 1 | 60 | 7,205"
78,Transformer (robot in disguise),@Trooonsformer,May 7,"AI assets or not, the game is magnificent and nothing can change that.",无论是否有人工智能资产，这款游戏都是精彩的，没有什么可以改变这一点。,"3 | 54 | 2,777"
79,mr noob,@Mr_Noob002,May 7,Best Devs.. just stay away from controversies.. nte is one of the best gacha game for sure.. keep improving.. 💯💗 we will keep supporting you,最好的开发者..远离争议..nte 肯定是最好的扭蛋游戏之一..不断进步..💯💗我们将继续支持你,"5,163"
80,Jak Celsor ⚡🐺,@J_Celsor,May 7,"Just ignore the dumbasses You got a good game here i think, it just needs some optimizations here and there.",忽略那些蠢货吧，我认为你在这里得到了一个很好的游戏，它只需要在这里和那里进行一些优化。,"1 | 58 | 2,020"
81,Agnis,@lanxre,May 7,Please give free 50 pulls or we deleting,请免费提供 50 次拉取，否则我们删除,"2,292"
